code_muni,nome_adapta,ano_adapta,valor_txt,susceptibilidade,classe_original,tipo_risco,categoria
2506301,Guarabira/PB,2015,0.87,0.8700000000000001,Muito alto,Deslizamento de terra,Muito alto
2916401,Itapetinga/BA,2015,0.87,0.8700000000000001,Muito alto,Deslizamento de terra,Muito alto
3302270,Japeri/RJ,2015,0.87,0.8700000000000001,Muito alto,Deslizamento de terra,Muito alto
3151404,Pitangui/MG,2015,0.87,0.8700000000000001,Muito alto,Deslizamento de terra,Muito alto
1506005,Prainha/PA,2015,0.87,0.8700000000000001,Muito alto,Deslizamento de terra,Muito alto
1500206,AcarÃ¡/PA,2015,0.86,0.8600000000000001,Muito alto,Deslizamento de terra,Muito alto
2101939,Bernardo do Mearim/MA,2015,0.86,0.8600000000000001,Muito alto,Deslizamento de terra,Muito alto
1301100,Careiro/AM,2015,0.86,0.8600000000000001,Muito alto,Deslizamento de terra,Muito alto
2303709,Caucaia/CE,2015,0.86,0.8600000000000001,Muito alto,Deslizamento de terra,Muito alto
3124203,Espera Feliz/MG,2015,0.86,0.8600000000000001,Muito alto,Deslizamento de terra,Muito alto
3129301,Iapu/MG,2015,0.86,0.8600000000000001,Muito alto,Deslizamento de terra,Muito alto
2506707,Imaculada/PB,2015,0.86,0.8600000000000001,Muito alto,Deslizamento de terra,Muito alto
3139409,ManhuaÃ§u/MG,2015,0.86,0.8600000000000001,Muito alto,Deslizamento de terra,Muito alto
2408904,Parelhas/RN,2015,0.86,0.8600000000000001,Muito alto,Deslizamento de terra,Muito alto
2610707,Paulista/PE,2015,0.86,0.8600000000000001,Muito alto,Deslizamento de terra,Muito alto
3153905,Raposos/MG,2015,0.86,0.8600000000000001,Muito alto,Deslizamento de terra,Muito alto
2414704,VÃ¡rzea/RN,2015,0.86,0.8600000000000001,Muito alto,Deslizamento de terra,Muito alto
2906501,Candeias/BA,2015,0.85,0.8500000000000001,Muito alto,Deslizamento de terra,Muito alto
2918407,Juazeiro/BA,2015,0.85,0.8500000000000001,Muito alto,Deslizamento de terra,Muito alto
3303005,Miracema/RJ,2015,0.85,0.8500000000000001,Muito alto,Deslizamento de terra,Muito alto
2407708,Montanhas/RN,2015,0.85,0.8500000000000001,Muito alto,Deslizamento de terra,Muito alto
2804805,Nossa Senhora do Socorro/SE,2015,0.85,0.8500000000000001,Muito alto,Deslizamento de terra,Muito alto
5215231,Novo Gama/GO,2015,0.85,0.8500000000000001,Muito alto,Deslizamento de terra,Muito alto
5106653,Pontal do Araguaia/MT,2015,0.85,0.8500000000000001,Muito alto,Deslizamento de terra,Muito alto
3304144,Queimados/RJ,2015,0.85,0.8500000000000001,Muito alto,Deslizamento de terra,Muito alto
3204500,Santa Leopoldina/ES,2015,0.85,0.8500000000000001,Muito alto,Deslizamento de terra,Muito alto
3169208,Tombos/MG,2015,0.85,0.8500000000000001,Muito alto,Deslizamento de terra,Muito alto
5221858,ValparaÃ­so de GoiÃ¡s/GO,2015,0.85,0.8500000000000001,Muito alto,Deslizamento de terra,Muito alto
3100906,Ãguas Formosas/MG,2015,0.84,0.8400000000000001,Muito alto,Deslizamento de terra,Muito alto
4300604,Alvorada/RS,2015,0.84,0.8400000000000001,Muito alto,Deslizamento de terra,Muito alto
3201100,Bom Jesus do Norte/ES,2015,0.84,0.8400000000000001,Muito alto,Deslizamento de terra,Muito alto
2103604,CoroatÃ¡/MA,2015,0.84,0.8400000000000001,Muito alto,Deslizamento de terra,Muito alto
3144805,Nova Lima/MG,2015,0.84,0.8400000000000001,Muito alto,Deslizamento de terra,Muito alto
2409308,Patu/RN,2015,0.84,0.8400000000000001,Muito alto,Deslizamento de terra,Muito alto
3156700,SabarÃ¡/MG,2015,0.84,0.8400000000000001,Muito alto,Deslizamento de terra,Muito alto
5219753,Santo AntÃ´nio do Descoberto/GO,2015,0.84,0.8400000000000001,Muito alto,Deslizamento de terra,Muito alto
3305109,SÃ£o JoÃ£o de Meriti/RJ,2015,0.84,0.8400000000000001,Muito alto,Deslizamento de terra,Muito alto
2708907,Satuba/AL,2015,0.84,0.8400000000000001,Muito alto,Deslizamento de terra,Muito alto
2312700,Senador Pompeu/CE,2015,0.84,0.8400000000000001,Muito alto,Deslizamento de terra,Muito alto
3169000,Tocantins/MG,2015,0.84,0.8400000000000001,Muito alto,Deslizamento de terra,Muito alto
